LocaleIdentifier,TH
BtnOrderAttachCard,เชื่อมโยงบัตร\nไปยังคำสั่งซื้อ
BtnOrderAttachOtherCard,เชื่อมโยง\nบัตรอื่น ๆ
BtnUseShipping,จัดส่ง
BtnOrderScanCoupon,สแกน\nคูปอง
BtnFindLinkedOrder,ค้นหา\nคำสั่งซื้อที่เชื่อมโยง
BtnOrderPrintInvoice,พิมพ์\nใบแจ้งหนี้
BtnOrderSendToKitchen,ส่งไปยัง\nห้องครัว
BtnOrderNextBill,ปัดเศษเงินสดขึ้น
BtnOrderAddStoreCredit,จัดเก็บ\nเครดิต
MsgOrderPaidSplitNotAllowed,คำสั่งซื้อได้รับการชำระเงินเต็มจำนวน ไม่มีสิ่งใดที่จะต้องแยกออกมา
BtnPinAccessibilityOn,เปิดการเข้าถึงการใช้งาน
BtnPinAccessibilityOff,ปิดการเข้าถึงการใช้งาน
MsgPinAccessibilityModeIsUnavailable,โหมดการเข้าถึงการใช้งานไม่พร้อมใช้งาน เนื่องจากเครื่องบริการนี้มีเครื่องสแกนบลูทูธ
MsgOrderClockIn,เข้างาน
MsgOrderClockOut,ออกงาน
MsgOrderPaidBreak,เวลาพักที่ได้รับการจ่ายเงิน
MsgOrderUnPaidBreak,เวลาพักที่ไม่ได้รับการจ่ายเงิน
MsgOrderGoOnBreak,ไปพัก
MsgOrderDeliveryTrackingDate,วันที่และเวลา
MsgOrderDeliveryTrackingEmployee,พนักงาน
MsgOrderDeliveryTrackingEmployeeClockOut,ออกงาน: %@
MsgOrderDeliveryTrackingInvalidClockInTime,เวลาเข้างานต้องเป็นเวลาหลังจากเวลาออกงาน
MsgOrderItemShare,แบ่งปัน
MsgOrderItemSplitWithSeat,แยกออกตามที่นั่ง%d
MsgOrderItemDiscount,ส่วนลด
MsgOrderItemNoCourseWithDate,***** ไม่มีอาหารชุด%@ *****
MsgOrderItemCourseWithDate,***** อาหารชุด %d%@ *****
MsgOrderItemSeat,ที่นั่ง %d
MsgOrderItemS,ที่นั่ง %d
MsgOrderItemLayaway,**ผ่อนชำระ**
MsgOrderItemReturned,คืนค่า
MsgOrderGratuityNonEditableHasPayments,คำสั่งซื้อนี้มีการชำระเงิน คุณไม่สามารถเพิ่มหรือลบเงินค่าตอบแทนพิเศษออกได้
MsgOrderGratuityFullAmountAllowed,เฉพาะการชำระเงินเต็มจำนวนเท่านั้นที่ได้รับการสนับสนุนเมื่อคำสั่งซื้อมีค่าตอบแทนพิเศษ
MsgOrderCategory,หมวดหมู่
MsgOrderSubCategory,หมวดหมู่ย่อย
MsgOrderProducts,ผลิตภัณฑ์
MsgOrderTopMenu,เมนูสุดฮิต
MsgOrderNoTipsTitle,ไม่มีทิป
MsgOrderNoTips,คำสั่งซื้อนี้ไม่มีคะแนน
MsgOrderNoTipsForBill,บิลบางใบไม่มีทิป ออกจากคำสั่งซื้อที่เปิดไว้หรือไม่?
BtnLeaveTip,แจ้งทิป
BtnCloseOrder,ปิดคำสั่งซื้อ
MsgOrderRefundExtraAmount,โปรดขอคืนเงินคงเหลือเพิ่ม ก่อนทำการปิด
MsgOrderPayRemainingAmount,ไม่สามารถปิดคำสั่งซื้อ โปรดชำระเงินที่ยังคงค้างชำระ
MsgOrderNoItemsForNextCourse,อาหารชุดถัดไปไม่มีรายการ
MsgOrderEnterPrice,ป้อนราคา
MsgOrderSelectSeat,เลือกที่นั่ง
MsgOrderSelectSeatPlease,โปรดเลือกจำนวนลูกค้า
MsgOrderSeatWithNumber,ที่นั่ง %d
MsgOrderSetSeat,โปรดป้อนหมายเลขที่นั่ง
MsgOrderSetGuestCount,เลือกจำนวนลูกค้า
MsgOrderSeat,ที่นั่ง
MsgOrderSeats,ที่นั่ง
MsgOrderGuest,ลูกค้า
MsgOrderGuests,ลูกค้า
MsgOrderSelectCourse,เลือกอาหารชุด
MsgOrderCourseWithNumber,อาหารชุด %d
MsgOrderTableCantMoveIsUnsynced,การเคลื่อนย้ายไม่สามารถเป็นไปได้ เนื่องจากคำสั่งซื้อปลายทางไม่ได้ซิงก์ไปยังเครื่องบริการ POS หลัก
MsgOrderSplitBillsClear,การแยกบิลจะถูกล้าง คุณแน่ใจหรือไม่?
MsgOrderSplitBillsNumberExceeded,สนับสนุนสูงสุด 15 การตรวจสอบ
MsgOrderSmallAmountForSplitting,จำนวนเงินของแต่ละบิลแยกต้องมากกว่า %.2f ดอลลาร์
